ID, APIName, Position, Balanced(0:yes#1:no), Pattern, GTransactionCnt, GlobSupport, LocSupport, SortingSupport
11,"javax.transaction.TransactionManager:getStatus()",1,1,"javax.transaction.TransactionManager:getStatus()#RETURN_PATTERNS#CONSTANT_EQUALITY_CHECK#Status.STATUS_MARKED_ROLLBACK(1)&&",73,0.27,0.58,0.45
11,"javax.transaction.TransactionManager:getStatus()",1,1,"javax.transaction.TransactionManager:getStatus()#RETURN_PATTERNS#CONSTANT_EQUALITY_CHECK#Status.STATUS_ACTIVE(1)&&",73,0.21,0.48,0.45
11,"javax.transaction.TransactionManager:getStatus()",1,1,"javax.transaction.TransactionManager:getStatus()#RETURN_PATTERNS#CONSTANT_EQUALITY_CHECK#Status.STATUS_ACTIVE(1)&&javax.transaction.TransactionManager:getStatus()#RETURN_PATTERNS#CONSTANT_EQUALITY_CHECK#Status.STATUS_MARKED_ROLLBACK(1)&&",73,0.19,0.45,0.45
12,"javax.transaction.TransactionManager:getTransaction()",1,0,"javax.transaction.TransactionManager:getTransaction()#RETURN_PATTERNS#NULL_CHECK#(1)&&",329,0.53,0,0.53
12,"javax.transaction.TransactionManager:getTransaction()",0,1,"javax.transaction.TransactionManager:getStatus()#RETURN_PATTERNS#CONSTANT_EQUALITY_CHECK#(0)&&",329,0.09,0.63,0.53
13,"javax.transaction.TransactionManager:resume(Transaction)",0,0,"javax.transaction.TransactionManager:resume(javax.transaction.Transaction)#ARGUMENT_PATTERNS#NULL_CHECK#(0)&&",80,0.9,0,0.9
13,"javax.transaction.TransactionManager:resume(Transaction)",0,1,"javax.transaction.Transaction:equals(javax.transaction.Transaction)#RETURN_PATTERNS#TRUE_FALSE_CHECK#(0)&&javax.transaction.TransactionManager:getTransaction()#RETURN_PATTERNS#METHODARG_TRUE_FALSE_CHECK#(0)&&",80,0.1,0.68,0.9
13,"javax.transaction.TransactionManager:resume(Transaction)",0,1,"javax.transaction.Transaction:equals(javax.transaction.Transaction)#RETURN_PATTERNS#TRUE_FALSE_CHECK#(0)&&javax.transaction.TransactionManager:resume(javax.transaction.Transaction)#ARGUMENT_PATTERNS#METHODARG_TRUE_FALSE_CHECK#(0)&&javax.transaction.TransactionManager:getTransaction()#RETURN_PATTERNS#METHODARG_TRUE_FALSE_CHECK#(0)&&",80,0.03,0.5,0.9
45,java.sql.ResultSet:getBoolean(int),0,0,java.sql.ResultSet:next()#RETURN_PATTERNS#TRUE_FALSE_CHECK#(0)&&,14,0.86,0,0.86
45,java.sql.ResultSet:getBoolean(int),0,0,java.sql.ResultSetMetaData:getColumnCount()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(0)&&java.sql.ResultSet:next()#RETURN_PATTERNS#TRUE_FALSE_CHECK#(0)&&,14,0.57,0,0.86
46,java.sql.ResultSet:getString(int),0,0,java.sql.ResultSet:next()#RETURN_PATTERNS#TRUE_FALSE_CHECK#(0)&&,896,0.88,0,0.88
46,java.sql.ResultSet:getString(int),1,1,java.sql.ResultSet:getString(java.lang.String)#RETURN_PATTERNS#NULL_CHECK#(1)&&,896,0.08,0.4,0.88
46,java.sql.ResultSet:getString(int),0,1,java.sql.ResultSet:first()#RETURN_PATTERNS#TRUE_FALSE_CHECK#(0)&&,896,0.01,0.28,0.88
47,java.sql.ResultSet:getInt(int),0,0,java.sql.ResultSet:next()#RETURN_PATTERNS#TRUE_FALSE_CHECK#(0)&&,317,0.75,0,0.75
47,java.sql.ResultSet:getInt(int),1,1,java.sql.ResultSet:getInt(java.lang.String)#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(1)&&,317,0.08,0.29,0.75
47,java.sql.ResultSet:getInt(int),0,1,java.sql.ResultSet:getObject(int)#RETURN_PATTERNS#NULL_CHECK#(0)&&,317,0.03,0.29,0.75
47,java.sql.ResultSet:getInt(int),0,1,java.sql.ResultSet:first()#RETURN_PATTERNS#TRUE_FALSE_CHECK#(0)&&,317,0.03,0.26,0.75
51,java.sql.ResultSet:getObject(int),0,0,java.sql.ResultSet:next()#RETURN_PATTERNS#TRUE_FALSE_CHECK#(0)&&,107,0.51,0,0.51
51,java.sql.ResultSet:getObject(int),1,1,java.sql.ResultSet:getObject(int)#RETURN_PATTERNS#NULL_CHECK#(1)&&,107,0.09,0.39,0.51
52,java.sql.ResultSet:wasNull(),0,0,java.sql.ResultSet:next()#RETURN_PATTERNS#TRUE_FALSE_CHECK#(0)&&,91,0.7,0,0.7
52,java.sql.ResultSet:wasNull(),0,1,java.sql.ResultSet:previous()#RETURN_PATTERNS#TRUE_FALSE_CHECK#(0)&&,91,0.04,0.57,0.7
52,java.sql.ResultSet:wasNull(),0,1,java.sql.ResultSet:getBinaryStream(int)#RETURN_PATTERNS#NULL_CHECK#(0)&&,91,0.02,0.29,0.7
55,java.sql.ResultSet:getDouble(int),0,0,java.sql.ResultSet:next()#RETURN_PATTERNS#TRUE_FALSE_CHECK#(0)&&,51,0.9,0,0.9
18,java.sql.DatabaseMetaData:getBestRowIdentifier(null:null:java.lang.String:int:boolean),1,0,java.sql.DatabaseMetaData:getBestRowIdentifier(UNKNOWN5208:UNKNOWN5220:UNKNOWN5232:java.sql.DatabaseMetaData.UNKNOWN5267:boolean)#RETURN_PATTERNS#NULL_CHECK#(1)&&,2,0.5,0,0.5
