$$ Transaction 0 $$
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanFunctionSet_f03aa728] [-clinit-] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanFunctionSet_f03aa728] [-init-] [Average Execution Time:0.00391] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanExtractor_f03aa728] [getHomeName] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanExtractor_f03aa728] [getHomeName] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanExtractor_f03aa728] [getHomeName] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanExtractor_f03aa728] [getHomeName] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanAdaptorBinding_f03aa728] [getAdapter] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanAdaptorBinding_f03aa728] [getProperties] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteCustomer_f03aa728] [ejbActivate] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.CustomerBean] [ejbActivate] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteCustomer_f03aa728] [ejbLoad] [Average Execution Time:0.60547] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanInjectorImpl_f03aa728] [ejbFindByPrimaryKey] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanFunctionSet_f03aa728] [execute] [Average Execution Time:0.58594] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanFunctionSet_f03aa728] [FindByPrimaryKey] [Average Execution Time:0.58594] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteCustomer_f03aa728] [unsetEntityContext] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.CustomerBean] [unsetEntityContext] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.CustomerKey] [hashCode] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.Util] [debug] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebspherewar.AccountServlet] [requestDispatch] [Average Execution Time:0.00391] 

$$ Transaction 1 $$
[Average Response Time: 0.119140625] [Total:2]
[com.ibm.websphere.samples.plantsbywebspherewar.AccountServlet] [doPost] [Average Execution Time:1.23828] 
[com.ibm.websphere.samples.plantsbywebspherewar.AccountServlet] [performTask] [Average Execution Time:1.23828] 
[com.ibm.websphere.samples.plantsbywebsphereejb.Util] [debug] [Average Execution Time:1] 
[com.ibm.websphere.samples.plantsbywebsphereejb._LoginHome_Stub] [create] [Average Execution Time:1.00391] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessLoginHome_8dbe8965_Tie] [getTarget] [Average Execution Time:1] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSRemoteStatelessLoginHome_8dbe8965] [create] [Average Execution Time:1] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSStatelessLoginHomeBean_8dbe8965] [create] [Average Execution Time:1] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessLogin_8dbe8965_Tie] [orb] [Average Execution Time:1] 
[com.ibm.websphere.samples.plantsbywebsphereejb._Login_Stub] [verifyUserAndPassword] [Average Execution Time:1.07031] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessLogin_8dbe8965_Tie] [getTarget] [Average Execution Time:1] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSRemoteStatelessLogin_8dbe8965] [verifyUserAndPassword] [Average Execution Time:1.06641] 
[com.ibm.websphere.samples.plantsbywebsphereejb.LoginBean] [verifyUserAndPassword] [Average Execution Time:1.04688] 
[com.ibm.websphere.samples.plantsbywebsphereejb.Util] [getEJBLocalHome] [Average Execution Time:1] 
[com.ibm.websphere.samples.plantsbywebsphereejb.CustomerKey] [-init-] [Average Execution Time:1] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSLocalCMPCustomerHome_f03aa728] [findByPrimaryKey] [Average Execution Time:1.04688] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSCMPCustomerHomeBean_f03aa728] [findByPrimaryKey_Local] [Average Execution Time:1.04688] 
[com.ibm.websphere.samples.plantsbywebsphereejb.CustomerKey] [hashCode] [Average Execution Time:1] 
[com.ibm.websphere.samples.plantsbywebsphereejb.CustomerKey] [hashCode] [Average Execution Time:1] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteCustomer_f03aa728] [-init-] [Average Execution Time:1] 
[com.ibm.websphere.samples.plantsbywebsphereejb.CustomerBean] [-init-] [Average Execution Time:1] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteCustomer_f03aa728] [getNumberOfFields] [Average Execution Time:1] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteCustomer_f03aa728] [setEntityContext] [Average Execution Time:1] 
[com.ibm.websphere.samples.plantsbywebsphereejb.CustomerBean] [setEntityContext] [Average Execution Time:1] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteCustomer_f03aa728] [_WSCB_getInstanceInfo] [Average Execution Time:1] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteCustomer_f03aa728] [ejbActivate] [Average Execution Time:1] 
[com.ibm.websphere.samples.plantsbywebsphereejb.CustomerBean] [ejbActivate] [Average Execution Time:1] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteCustomer_f03aa728] [ejbLoad] [Average Execution Time:1.03906] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanInjectorImpl_f03aa728] [ejbFindByPrimaryKey] [Average Execution Time:1] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanFunctionSet_f03aa728] [execute] [Average Execution Time:1.01562] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanFunctionSet_f03aa728] [FindByPrimaryKey] [Average Execution Time:1.01562] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteCustomer_f03aa728] [unsetEntityContext] [Average Execution Time:1] 
[com.ibm.websphere.samples.plantsbywebsphereejb.CustomerBean] [unsetEntityContext] [Average Execution Time:1] 
[com.ibm.websphere.samples.plantsbywebsphereejb.CustomerKey] [hashCode] [Average Execution Time:1] 
[com.ibm.websphere.samples.plantsbywebsphereejb.Util] [debug] [Average Execution Time:1] 
[com.ibm.websphere.samples.plantsbywebspherewar.AccountServlet] [requestDispatch] [Average Execution Time:1.01562] 

