ClassName of AcceptChar	AutomatonToCode.81027.224448.pex\ncover_report.html	AutomatonToCode.81028.023513.pex\ncover_report.html	Diff:Col1-Col2 
1_1_20_10_26_2008_10_14_57_PM_355.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_356.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_357.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_402.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_403.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_404.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_378.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_406.cs	100	100	0
1_1_20_10_26_2008_10_14_54_PM_71.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_390.cs	100	100	0
1_1_20_10_26_2008_10_14_59_PM_658.cs	0	0	0
1_1_20_10_26_2008_10_14_59_PM_659.cs	0	0	0
1_1_20_10_26_2008_10_14_57_PM_393.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_394.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_395.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_371.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_372.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_373.cs	100	100	0
1_1_20_10_26_2008_10_14_59_PM_650.cs	0	0	0
1_1_20_10_26_2008_10_14_59_PM_651.cs	0	0	0
1_1_20_10_26_2008_10_14_59_PM_652.cs	0	0	0
1_1_20_10_26_2008_10_14_59_PM_653.cs	0	0	0
1_1_20_10_26_2008_10_14_56_PM_319.cs	100	100	0
1_1_20_10_26_2008_10_14_59_PM_655.cs	0	0	0
1_1_20_10_26_2008_10_14_59_PM_656.cs	0	0	0
1_1_20_10_26_2008_10_14_59_PM_678.cs	0	0	0
1_1_20_10_26_2008_10_14_59_PM_679.cs	0	0	0
1_1_20_10_26_2008_10_14_59_PM_690.cs	0	0	0
1_1_20_10_26_2008_10_14_59_PM_691.cs	0	0	0
1_1_20_10_26_2008_10_14_59_PM_692.cs	0	0	0
1_1_20_10_26_2008_10_14_56_PM_312.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_313.cs	66.7	66.7	0
1_1_20_10_26_2008_10_14_59_PM_695.cs	0	0	0
1_1_20_10_26_2008_10_14_59_PM_671.cs	0	0	0
1_1_20_10_26_2008_10_14_59_PM_697.cs	0	0	0
1_1_20_10_26_2008_10_14_59_PM_673.cs	0	0	0
1_1_20_10_26_2008_10_14_59_PM_674.cs	0	0	0
1_1_20_10_26_2008_10_14_59_PM_675.cs	0	0	0
1_1_20_10_26_2008_10_14_59_PM_676.cs	0	0	0
1_1_20_10_26_2008_10_14_56_PM_338.cs	0	0	0
1_1_20_10_26_2008_10_14_58_PM_592.cs	100	100	0
1_1_20_10_26_2008_10_14_58_PM_593.cs	100	100	0
1_1_20_10_26_2008_10_14_53_PM_5.cs	100	100	0
1_1_20_10_26_2008_10_14_58_PM_596.cs	100	100	0
1_1_20_10_26_2008_10_14_53_PM_9.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_330.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_331.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_332.cs	100	100	0
1_1_20_10_26_2008_10_14_59_PM_601.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_334.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_335.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_336.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_337.cs	0	0	0
1_1_20_10_26_2008_10_14_57_PM_487.cs	100	100	0
1_1_20_10_26_2008_10_14_55_PM_112.cs	100	100	0
1_1_20_10_26_2008_10_14_55_PM_113.cs	100	100	0
1_1_20_10_26_2008_10_14_55_PM_114.cs	100	100	0
1_1_20_10_26_2008_10_14_55_PM_115.cs	100	100	0
1_1_20_10_26_2008_10_14_55_PM_116.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_431.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_435.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_436.cs	100	100	0
1_1_20_10_26_2008_10_14_55_PM_130.cs	100	100	0
1_1_20_10_26_2008_10_14_55_PM_131.cs	100	100	0
1_1_20_10_26_2008_10_14_55_PM_132.cs	100	100	0
1_1_20_10_26_2008_10_14_55_PM_133.cs	100	100	0
1_1_20_10_26_2008_10_14_55_PM_134.cs	100	100	0
1_1_20_10_26_2008_10_14_55_PM_135.cs	100	100	0
1_1_20_10_26_2008_10_14_55_PM_136.cs	100	100	0
1_1_20_10_26_2008_10_14_55_PM_137.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_257.cs	100	100	0
1_1_20_10_26_2008_10_14_58_PM_561.cs	100	100	0
1_1_20_10_26_2008_10_14_58_PM_578.cs	100	100	0
1_1_20_10_26_2008_10_14_58_PM_579.cs	100	100	0
1_1_20_10_26_2008_10_14_53_PM_28.cs	100	100	0
1_1_20_10_26_2008_10_14_55_PM_193.cs	100	100	0
1_1_20_10_26_2008_10_14_55_PM_195.cs	100	100	0
1_1_20_10_26_2008_10_14_55_PM_196.cs	100	100	0
1_1_20_10_26_2008_10_14_55_PM_197.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_428.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_429.cs	100	100	0
1_1_20_10_26_2008_10_14_53_PM_33.cs	100	100	0
1_1_20_10_26_2008_10_14_58_PM_573.cs	100	100	0
1_1_20_10_26_2008_10_14_54_PM_66.cs	100	100	0
1_1_20_10_26_2008_10_14_58_PM_577.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_288.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_289.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_422.cs	100	100	0
1_1_20_10_26_2008_10_14_54_PM_53.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_426.cs	100	100	0
1_1_20_10_26_2008_10_14_53_PM_44.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_282.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_283.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_284.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_285.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_286.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_287.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_263.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_264.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_265.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_266.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_267.cs	100	100	0
1_1_20_10_26_2008_10_14_58_PM_569.cs	100	100	0
1_1_20_10_26_2008_10_14_54_PM_91.cs	100	100	0
1_1_20_10_26_2008_10_14_59_PM_698.cs	0	0	0
1_1_20_10_26_2008_10_14_59_PM_699.cs	0	0	0
