2007-07-18 19:42:15,796  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for junit.awtui.TestRunner,showInfo(java.lang.String)  ReturnType: for class: junit.awtui.TestRunner
2007-07-18 19:42:15,812  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for junit.awtui.TestRunner,showInfo(java.lang.String)  ReturnType: for class: junit.awtui.TestRunner
2007-07-18 19:42:15,812  WARN (ParseSrcVisitor.java:147) - Failed to get equivalent method declaration junit.awtui.TestRunner,run()  ReturnType:void for class: junit.awtui.TestRunner
2007-07-18 19:42:15,812  WARN (ParseSrcVisitor.java:147) - Failed to get equivalent method declaration junit.awtui.TestRunner,shouldReload()  ReturnType:boolean for class: junit.awtui.TestRunner
2007-07-18 19:42:15,812  WARN (ParseSrcVisitor.java:147) - Failed to get equivalent method declaration junit.awtui.TestRunner,setLabelValue(Label,int)  ReturnType:void for class: junit.awtui.TestRunner
2007-07-18 19:42:15,812  WARN (ParseSrcVisitor.java:147) - Failed to get equivalent method declaration junit.awtui.TestRunner,showErrorTrace()  ReturnType:void for class: junit.awtui.TestRunner
2007-07-18 19:42:15,812  WARN (ParseSrcVisitor.java:147) - Failed to get equivalent method declaration junit.awtui.TestRunner,showInfo(String)  ReturnType:void for class: junit.awtui.TestRunner
2007-07-18 19:42:15,812  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for junit.awtui.TestRunner,showStatus(java.lang.String)  ReturnType: for class: junit.awtui.TestRunner
2007-07-18 19:42:15,812  WARN (ParseSrcVisitor.java:147) - Failed to get equivalent method declaration junit.awtui.TestRunner,showStatus(String)  ReturnType:void for class: junit.awtui.TestRunner
2007-07-18 19:42:15,828  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for junit.extensions.ExceptionTestCase,fail(java.lang.String)  ReturnType: for class: junit.extensions.ExceptionTestCase
2007-07-18 19:42:15,843  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for junit.extensions.ActiveTestSuite,waitUntilFinished()  ReturnType: for class: junit.extensions.ActiveTestSuite
