$$ Transaction 0 $$
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanFunctionSet_f03aa728] [-init-] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanExtractor_f03aa728] [getHomeName] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanExtractor_f03aa728] [getHomeName] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanExtractor_f03aa728] [getHomeName] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanExtractor_f03aa728] [getHomeName] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanAdaptorBinding_f03aa728] [getAdapter] [Average Execution Time:0.04688] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanAdaptorBinding_f03aa728] [getProperties] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteCustomer_f03aa728] [ejbFindByPrimaryKeyUpdate_Local] [Average Execution Time:4.04688] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteCustomer_f03aa728] [getInjector] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanInjectorImpl_f03aa728] [ejbFindByPrimaryKeyUpdate] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanFunctionSet_f03aa728] [execute] [Average Execution Time:3.54297] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanFunctionSet_f03aa728] [FindByPrimaryKeyUpdate444Update] [Average Execution Time:3.53906] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanExtractor_f03aa728] [extractPrimaryKey] [Average Execution Time:0.00781] 
[com.ibm.websphere.samples.plantsbywebsphereejb.CustomerKey] [-init-] [Average Execution Time:0] 
