subject,Jung,OpenJGraph,JGrapht,Grappa
2.365212389,1.113282753,0.682606194,0,0
2.378868652,1.113282753,0,0,0.21
2.392231208,1.113282753,0.21,0,0.430676558
2.405312427,0.682606194,0.21,0,0
2.41812391,1.113282753,0,0,0
2.430676558,1,0.21,0,0.430676558
2.442980622,0.682606194,0,0,0.21
2.455045757,0.430676558,0.21,0,0.682606194
2.466881066,0.682606194,0.21,0.21,0
2.478495142,0.21,0,0,0.21
2.489896102,0.430676558,0,0.21,0
2.501091629,0.430676558,0,0,0.21
2.512088995,0.21,0,0,0
2.522895092,0.21,0.430676558,0,0.21
2.533516461,1.209061955,0.21,0,0
2.543959311,1.543959311,0.682606194,0.21,0
2.554229543,0.430676558,0,0,0
2.564332773,0.21,0.21,0.21,0
2.574274344,0.682606194,0,0,0.21
2.584059348,0.430676558,0,0,0.430676558
2.593692641,0.682606194,0,0,0
2.603178855,1.113282753,0,0,0.21
2.612522414,0.21,0,0,0
2.621727544,0,0,0,0.21
2.630798288,0.21,0,0,0
2.639738513,0.21,0,0,0
2.648551922,0,0,0,0
2.657242063,0.430676558,0,0,0
2.665812336,0,0,0,0
2.674266003,0.682606194,0,0,0
2.682606194,0.682606194,0,0,0
2.690835917,0.861353116,0,0,0
2.698958058,0.21,0,0,0
2.706975394,0.682606194,0,0,0
2.714890595,0.21,0,0,0
2.722706232,0.430676558,0,0,0
2.730424778,0.21,0,0,0
2.738048615,0.430676558,0,0,0
2.74558004,0.21,0,0,0
2.753021266,1,0,0,0
2.760374428,0.21,0,0,0
2.767641586,1.113282753,0.21,0,0
2.774824729,0.21,0,0,0
2.781925777,0.861353116,0,0,0
2.788946585,0.430676558,0,0,0
2.795888947,0.682606194,0,0,0
2.802754596,0,0,0,0
2.80954521,0.21,0,0,0
2.816262409,0,0,0,0
2.822907766,0.21,0,0,0
2.8294828,0.682606194,0.21,0,0
2.835988985,0.21,0,0,0
2.842427746,0.430676558,0,0,0
2.848800468,1.209061955,0.21,0,0
2.855108491,0.21,0,0,0
2.861353116,0,0,0,0
2.867535604,0,0,0,0.21
2.87365718,0,0,0,0
2.879719033,0,0,0,0
2.885722315,0.430676558,0,0,0
2.89166815,0.682606194,0,0,0
2.897557624,0.21,0,0,0
2.903391798,0.861353116,0,0,0
2.9091717,0,0,0,0
2.914898329,0.21,0,0.21,0
2.92057266,0.21,0,0,0
2.926195639,0.430676558,0,0,0
2.931768187,0.21,0,0,0
2.937291201,0.21,0,0.21,0
2.942765553,0,0,0,0
2.948192093,0,0,0,0
2.95357165,0,0.21,0,0
2.95890503,0.682606194,0,0,0
2.964193019,0.21,0,0,0
2.969436383,0.430676558,0,0,0
2.974635869,1.113282753,0,0,0
2.979792205,0,0,0,0
2.984906101,0,0,0,0
2.989978252,0.682606194,0,0,0
2.995009331,0,0,0,0
3,0.21,0,0,0
3.004950902,0.430676558,0,0,0
3.009862666,0,0,0,0
3.014735907,0.430676558,0,0,0
3.019571222,0.21,0,0,0
3.024369199,0.21,0,0,0
3.02913041,0.21,0,0,0
3.033855413,0.861353116,0,0,0.21
3.038544756,0,0,0,0
3.043198972,0.21,0,0,0
3.047818583,0.861353116,0,0,0
3.052404102,0.430676558,0,0,0
3.056956027,0.430676558,0,0,0
3.061474846,0,0,0,0
3.065961038,0.682606194,0,0,0
3.070415071,0.430676558,0,0,0
3.074837403,0.21,0,0,0.21
3.079228481,0,0.21,0,0
3.083588744,0,0,0,0
3.087918621,0.682606194,0,0,0
3.092218534,0.21,0,0,0
3.096488894,0,0,0,0
3.100730105,0,0,0,0
3.104942561,0.21,0,0,0
3.109126651,0.682606194,0,0,0
3.113282753,0,0,0,0
3.117411239,0.21,0,0,0
3.121512475,0.430676558,0,0,0
3.125586817,0.861353116,0.21,0,0
3.129634616,0.430676558,0,0,0
3.133656215,0.21,0,0,0
3.137651952,0.21,0,0,0
3.141622157,0,0,0,0
3.145567154,0,0,0,0
3.149487261,0.21,0,0,0
3.15338279,0.21,0,0,0
3.157254049,0.430676558,0,0,0
3.161101336,0.21,0,0,0
3.164924948,0,0,0,0
3.168725173,0.430676558,0,0,0
3.172502297,0,0,0,0
3.176256598,0.21,0,0,0
3.179988351,0,0,0,0
3.183697824,0.682606194,0,0,0
3.187385282,0.21,0,0,0
3.191050986,0,0,0,0
3.194695189,0.430676558,0,0,0.21
3.198318144,0.21,0,0,0
3.201920096,0,0,0,0
3.205501287,0,0,0,0
3.209061955,0,0,0,0
3.212602335,0,0,0,0
3.216122655,0.861353116,0,0,0
3.219623143,0,0,0,0
3.22310402,0.21,0,0,0
3.226565505,0.430676558,0,0,0
3.230007813,0.430676558,0,0,0
3.233431154,0,0,0,0
3.236835738,0,0,0,0
3.240221768,0,0,0,0
3.243589445,0.861353116,0,0,0
3.246938968,0.430676558,0,0,0
3.25027053,0,0,0,0
3.253584324,0,0,0,0
3.256880539,0,0,0,0
3.260159359,0,0,0,0
3.263420967,0,0,0,0
3.266665543,0,0,0,0
3.269893264,0,0,0,0
3.273104305,0.21,0,0,0
3.276298836,0,0,0,0
3.279477026,0,0,0,0
3.282639043,0,0,0,0
3.285785049,0,0,0,0
3.288915207,0.430676558,0,0,0
3.292029674,0,0,0,0
3.295128608,0,0,0,0
3.298212162,0,0,0,0
3.301280489,0.430676558,0,0,0
3.304333738,0,0,0,0
3.307372057,0,0,0,0
3.310395591,0.21,0,0,0
3.313404482,0,0,0,0
3.316398873,0,0,0,0
3.319378903,0,0,0,0
3.322344708,0,0,0,0
3.325296423,0,0,0,0
3.328234182,0,0,0,0
3.331158117,0,0,0,0
3.334068356,0,0,0,0
3.336965028,0,0,0,0
3.339848258,0.21,0,0,0
3.34271817,0,0,0,0
3.345574887,0,0,0,0
3.348418531,0.21,0,0,0
3.351249219,0,0,0,0
3.354067069,0,0,0,0
3.356872198,0,0,0,0
3.359664719,0,0,0,0
3.362444745,0,0,0,0
3.365212389,0,0,0,0
3.367967759,0,0,0,0
3.370710964,0,0,0,0
3.373442111,0.21,0,0,0
3.376161305,0,0,0,0
3.378868652,0,0,0,0
3.381564252,0.21,0,0,0
3.384248208,0,0,0,0
3.386920621,0,0,0,0
3.389581588,0,0,0,0
3.392231208,0.21,0,0,0
3.394869577,0.21,0,0,0
3.39749679,0,0,0,0
3.400112941,0.21,0,0,0
3.402718123,0,0,0,0
3.405312427,0.21,0,0,0
3.407895944,0.21,0,0,0
3.410468763,0.430676558,0,0,0
3.413030972,0,0,0,0
3.41558266,0,0,0,0
3.41812391,0.21,0,0,0
3.42065481,0,0,0,0
3.423175442,0,0,0,0
3.425685889,0,0,0,0
3.428186234,0,0,0,0
3.430676558,0,0,0,0
3.43315694,0,0,0,0
3.43562746,0,0,0,0
3.438088196,0,0,0,0
3.440539224,0,0,0,0.21
3.442980622,0,0,0,0
3.445412465,0,0,0,0
3.447834826,0,0,0,0
3.45024778,0,0,0,0
3.4526514,0,0,0,0
3.455045757,0,0,0,0
3.457430923,0,0,0,0
3.459806968,0,0,0,0
3.462173961,0,0,0,0
3.464531971,0,0,0,0
3.466881066,0,0,0,0
3.469221314,0.430676558,0,0,0
3.47155278,0,0,0,0
3.47387553,0,0,0,0
3.476189629,0.21,0,0,0
3.478495142,0,0,0,0
3.480792131,0.430676558,0,0,0
3.48308066,0,0,0,0
3.485360791,0,0,0,0
3.487632585,0,0,0,0.21
3.489896102,0,0,0,0
3.492151404,0,0,0,0.21
3.494398549,0,0,0,0
3.496637596,0,0,0,0
3.498868604,0,0,0,0
3.501091629,0,0,0,0.21
3.503306729,0,0,0,0
3.505513961,0,0,0,0
3.507713379,0,0,0,0
3.509905039,0.21,0,0,0
3.512088995,0.21,0,0,0
3.514265302,0,0,0,0
3.516434012,0,0,0,0
3.518595179,0,0,0,0
3.520748855,0,0,0,0
3.522895092,0,0,0,0
3.525033941,0.21,0,0,0
3.527165452,0,0,0,0
3.529289676,0,0,0,0
3.531406663,0,0,0,0
3.533516461,0.682606194,0,0,0
3.535619119,0,0,0,0
3.537714686,0,0,0,0
3.539803209,0,0,0,0
3.541884735,0.21,0,0,0
3.543959311,0,0,0,0
3.546026983,0,0,0,0
3.548087797,0,0,0,0
3.550141799,0.430676558,0,0,0.21
3.552189033,0,0,0,0
3.554229543,0,0,0,0
3.556263375,0,0,0,0
3.55829057,0,0,0,0
3.560311174,0,0,0,0
3.562325227,0.21,0,0,0
3.564332773,0,0,0,0
3.566333853,0,0,0,0
3.56832851,0,0,0,0
3.570316783,0,0,0,0
3.572298715,0,0,0,0
3.574274344,0,0,0,0
3.576243712,0,0,0,0
3.578206857,0,0,0,0
3.580163819,0,0,0,0
3.582114637,0,0,0,0
3.584059348,0,0,0,0
3.585997993,0.21,0,0,0
3.587930607,0,0,0,0
3.589857228,0,0,0,0
3.591777894,0,0,0,0
3.593692641,0,0,0,0
3.595601506,0,0,0,0
3.597504524,0,0,0,0
3.599401731,0,0,0,0
3.601293163,0,0,0,0
3.603178855,0.21,0,0,0
3.605058841,0,0,0,0
3.606933156,0,0,0,0
3.608801834,0,0,0,0
3.610664909,0,0,0,0
