$$ Transaction 0 $$
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanAdaptorBinding_53081ec0] [getExtractor] [Average Execution Time:0.00015] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanExtractor_53081ec0] [-init-] [Average Execution Time:0.00006] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanAdaptorBinding_53081ec0] [getExtractor] [Average Execution Time:0.00014] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanExtractor_53081ec0] [-init-] [Average Execution Time:0.00006] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanFunctionSet_53081ec0] [-clinit-] [Average Execution Time:0.00029] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanFunctionSet_53081ec0] [-init-] [Average Execution Time:0.00102] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanExtractor_53081ec0] [getHomeName] [Average Execution Time:0.00004] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanExtractor_53081ec0] [getHomeName] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanExtractor_53081ec0] [getHomeName] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanExtractor_53081ec0] [getHomeName] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanExtractor_53081ec0] [getHomeName] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanExtractor_53081ec0] [getHomeName] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanExtractor_53081ec0] [getHomeName] [Average Execution Time:0.00003] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanAdaptorBinding_53081ec0] [getAdapter] [Average Execution Time:0.04722] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanAdaptorBinding_53081ec0] [getProperties] [Average Execution Time:0.00012] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteInventory_53081ec0] [ejbFindByCategory_Local] [Average Execution Time:5.46426] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteInventory_53081ec0] [getInjector] [Average Execution Time:0.00005] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanInjectorImpl_53081ec0] [ejbFindByCategory] [Average Execution Time:0.00034] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanFunctionSet_53081ec0] [execute] [Average Execution Time:5.15379] 
